Tipo,ID,Titolo,Anno,Autore,Pagine,Periodicita,Uscita
Libro,1,Il signore degli anelli,1954,J.R.R. Tolkien,1178,,
Rivista,2,The New Yorker,1925,,,Mensile,1
Libro,3,Il nome della rosa,1980,Umberto Eco,503,,
Rivista,4,The Economist,1843,,,Settimanale,1
Libro,5,Il vecchio e il mare,1952,Ernest Hemingway,127,,
Rivista,6,Time,1923,,,Settimanale,1
Libro,7,Il processo,1925,Franz Kafka,255,,
Rivista,8,The Atlantic,1857,,,Mensile,1
Libro,9,Il ritratto di Dorian Gray,1890,Oscar Wilde,254,,
Rivista,10,The New York Times Magazine,1896,,,Settimanale,1